NAME,RTG,TEAM,Position,GP,ATT,YDS,YDS/ATT,ATT/G,100+ YDS,TD,LONG,FUM,FUML,,,,,
Nick Chubb,98,CLE,RB,17,302,"1,525",5,17.8,7,12,41,1,1,,,,,
Josh Jacobs,96,OAK,RB,17,340,"1,653",4.9,20,6,12,86,3,1,,,,,
Derrick Henry,95,TEN,RB,16,349,"1,538",4.4,21.8,9,13,56,6,3,,,,,
Christian McCaffrey,95,SF,RB,17,244,"1,139",4.7,14.4,5,8,49,1,0,,,,,
Saquon Barkley,94,NYG,RB,16,295,"1,312",4.4,18.4,4,10,68,1,0,,,,,
Dalvin Cook,93,MIN,RB,17,264,"1,173",4.4,15.5,2,8,81,4,4,,,,,
Aaron Jones,89,GB,RB,17,213,"1,121",5.3,12.5,5,2,36,5,3,,,,,
Austin Ekeler,89,LAC,RB,17,204,915,4.5,12,2,13,72,5,3,,,,,
Jonathan Taylor,89,IND,RB,11,192,861,4.5,17.5,2,4,66,3,3,,,,,
Tony Pollard,88,DAL,RB,16,193,"1,007",5.2,12.1,3,9,57,0,0,,,,,
Joe Mixon,88,CIN,RB,14,210,814,3.9,15,1,7,40,0,0,,,,,
Miles Sanders,87,PHI,RB,17,259,"1,269",4.9,15.2,3,11,40,2,2,,,,,
Ezekiel Elliott,87,DAL,RB,15,231,876,3.8,15.4,0,12,27,0,0,,,,,
Alvin Kamara,86,NO,RB,15,223,897,4,14.9,2,2,27,4,4,,,,,
Cordarrelle Patterson,85,ATL,RB,13,144,695,4.8,11.1,2,8,40,1,1,,,,,
Jamaal Williams,84,DET,RB,17,262,"1,066",4.1,15.4,2,17,58,3,2,,,,,
Kenneth Walker III,84,SEA,RB,15,228,"1,051",4.6,15.2,5,9,74,0,0,,,,,
Kareem Hunt,84,CLE,RB,17,123,468,3.8,7.2,0,3,24,0,0,,,,,
David Montgomery,83,CHI,RB,16,201,801,4,12.6,1,5,28,2,2,,,,,
Dameon Pierce,83,HOU,RB,13,220,939,4.3,16.9,2,4,75,4,2,,,,,
Najee Harris,82,PIT,RB,17,272,"1,034",3.8,16,1,7,36,3,2,,,,,
Damien Harris,82,NE,RB,11,106,462,4.4,9.6,0,3,30,0,0,,,,,
Travis Etienne Jr.,82,JAX,RB,17,220,"1,125",5.1,12.9,5,5,62,5,3,,,,,
Devin Singletary,82,BUF,RB,16,177,819,4.6,11.1,1,5,33,3,3,,,,,
Raheem Mostert,81,MIA,RB,16,181,891,4.9,11.3,2,3,67,2,1,,,,,
Cam Akers,81,LAR,RB,15,188,786,4.2,12.5,3,7,42,2,2,,,,,
D'Andre Swift,81,DET,RB,14,99,542,5.5,7.1,1,5,50,1,0,,,,,
Leonard Fournette,81,TB,RB,16,189,668,3.5,11.8,1,3,23,0,0,,,,,
Javonte Williams,81,DEN,RB,4,47,204,4.3,11.8,0,0,17,1,1,,,,,
Brian Robinson Jr.,80,WAS,RB,12,205,797,3.9,17.1,1,2,24,2,0,,,,,
Breece Hall,80,NYJ,RB,7,80,463,5.8,11.4,1,4,62,1,1,,,,,
Rashaad Penny,80,SEA,RB,5,57,346,6.1,11.4,1,2,41,1,0,,,,,
Isiah Pacheco,79,KC,RB,17,170,830,4.9,10,1,5,31,4,2,,,,,
Elijah Mitchell,79,SF,RB,5,45,279,6.2,9,0,2,37,0,0,,,,,
Samaje Perine,79,CIN,RB,16,95,394,4.1,5.9,1,2,29,0,0,,,,,
AJ Dillon,79,GB,RB,17,186,770,4.1,10.9,0,7,27,1,0,,,,,
Rhamondre Stevenson,78,NE,RB,17,210,"1,040",5,12.4,2,5,49,4,1,,,,,
Jerick McKinnon,78,KC,RB,17,72,291,4,4.2,0,1,30,1,1,,,,,
Clyde Edwards-Helaire,77,KC,RB,10,71,302,4.3,7.1,0,3,52,0,0,,,,,
D'Onta Foreman,77,CAR,RB,17,203,914,4.5,11.9,5,5,60,1,0,,,,,
Kenneth Gainwell,77,PHI,RB,17,53,240,4.5,3.1,0,4,13,0,0,,,,,
Latavius Murray,77,DEN,RB,13,171,760,4.4,13.2,2,6,52,1,0,,,,,
J.K. Dobbins,77,BAL,RB,8,92,520,5.7,11.5,2,2,44,0,0,,,,,
James Conner,77,ARI,RB,13,183,782,4.3,14.1,1,7,23,3,1,,,,,
Gus Edwards,76,BAL,RB,9,87,433,5,9.7,0,3,37,1,1,,,,,
Antonio Gibson,76,WAS,RB,15,149,546,3.7,9.9,0,3,20,2,0,,,,,
Michael Carter,76,NYJ,RB,16,114,402,3.5,7.1,0,3,25,1,1,,,,,
Mark Ingram II,76,NO,RB,10,62,235,3.8,6.2,0,1,14,2,2,,,,,
James Robinson,76,NYJ,RB,11,110,425,3.9,10,1,3,50,1,0,,,,,
James Cook,76,BUF,RB,16,89,507,5.7,5.6,0,2,33,1,1,,,,,
J.D. McKissic,76,WAS,RB,8,22,95,4.3,2.8,0,0,33,0,0,,,,,
Nyheim Hines,76,BUF,RB,16,24,33,1.4,1.5,0,1,9,2,0,,,,,
Tyler Allgeier,76,ATL,RB,16,210,"1,035",4.9,13.1,2,3,44,0,0,,,,,
Darrell Henderson Jr.,76,JAX,RB,10,70,283,4,7,0,3,23,0,0,,,,,
Jeff Wilson Jr.,76,MIA,RB,16,176,860,4.9,11,2,5,41,3,2,,,,,
Khalil Herbert,76,CHI,RB,13,129,732,5.7,9.9,1,4,64,0,0,,,,,
Sony Michel,75,LAC,RB,10,36,106,2.9,3.6,0,0,12,0,0,,,,,
Alexander Mattison,75,MIN,RB,17,74,283,3.8,4.4,0,5,15,0,0,,,,,
Boston Scott,75,PHI,RB,15,54,217,4,3.6,0,3,21,0,0,,,,,
Kenyan Drake,75,BAL,RB,12,109,482,4.4,9.1,1,4,40,1,0,,,,,
Chase Edmonds,75,DEN,RB,13,68,245,3.6,5.2,0,2,28,0,0,,,,,
Justin Jackson,74,DET,RB,16,42,170,4,2.6,0,1,27,1,0,,,,,
Melvin Gordon III,74,DEN,RB,10,90,318,3.5,9,0,2,17,5,2,,,,,
Ronald Jones,74,KC,RB,6,17,70,4.1,2.8,0,1,13,0,0,,,,,
Myles Gaskin,74,MIA,RB,4,10,26,2.6,2.5,0,0,10,0,0,,,,,
Justice Hill,74,BAL,RB,15,49,262,5.3,3.3,0,0,34,2,1,,,,,
Mike Davis,74,BAL,RB,8,8,18,2.2,1,0,0,10,1,0,,,,,
Chuba Hubbard,74,CAR,RB,15,95,466,4.9,6.3,1,2,35,4,1,,,,,
Duke Johnson,73,BUF,RB,1,2,4,2,2,0,0,4,1,0,,,,,
Rachaad White,73,TB,RB,17,129,481,3.7,7.6,1,1,35,3,3,,,,,
Phillip Lindsay,73,IND,RB,3,15,49,3.3,5,0,0,15,0,0,,,,,
Zack Moss,73,IND,RB,13,93,456,4.9,7.2,1,1,43,1,1,,,,,
Ameer Abdullah,73,OAK,RB,17,4,20,5,0.2,0,0,7,2,0,,,,,
Giovani Bernard,73,TB,RB,8,8,28,3.5,1,0,0,8,1,0,,,,,
David Johnson,73,NO,RB,5,12,24,2,2.4,0,0,5,1,1,,,,,
Tevin Coleman,72,SF,RB,5,12,26,2.2,2.4,0,1,14,0,0,,,,,
Rex Burkhead,72,HOU,RB,16,26,80,3.1,1.6,0,1,9,0,0,,,,,
Damien Williams,72,ATL,RB,1,2,2,1,2,0,0,2,0,0,,,,,
D'Ernest Johnson,72,CLE,RB,15,4,17,4.2,0.3,0,0,7,0,0,,,,,
Ty Johnson,72,NYJ,RB,17,30,160,5.3,1.8,0,1,32,0,0,,,,,
Isaiah Spiller,71,LAC,RB,6,18,41,2.3,3,0,0,11,0,0,,,,,
Ke'Shawn Vaughn,71,TB,RB,15,17,53,3.1,1.1,0,0,12,0,0,,,,,
Benny Snell Jr.,71,PIT,RB,17,20,90,4.5,1.2,0,1,16,0,0,,,,,
Demetric Felton Jr.,71,CLE,RB,8,1,-4,-4,0.1,0,0,0,1,0,,,,,
Jordan Howard,71,NO,RB,2,1,1,1,0.5,0,0,1,0,0,,,,,
Darrel Williams,71,ARI,RB,6,21,102,4.9,3.5,0,1,30,0,0,,,,,
Matt Breida,71,NYG,RB,17,54,220,4.1,3.2,0,1,18,0,0,,,,,
Jaylen Warren,71,PIT,RB,16,77,379,4.9,4.8,0,1,31,1,0,,,,,
Marlon Mack,71,DEN,RB,8,16,84,5.2,2,0,1,17,0,0,,,,,
Malcolm Brown,70,LAR,RB,11,18,81,4.5,1.6,0,1,23,0,0,,,,,
Travis Homer,70,SEA,RB,10,19,74,3.9,1.9,0,0,16,1,1,,,,,
Taiwan Jones,70,BUF,RB,16,0,0,0,0,0,0,0,2,1,,,,,
Dontrell Hilliard,70,TEN,RB,12,22,145,6.6,1.8,0,0,30,0,0,,,,,
Tyrion Davis-Price,70,SF,RB,6,34,99,2.9,5.7,0,0,20,0,0,,,,,
Eno Benjamin,70,NO,RB,15,77,313,4.1,5.1,0,2,45,1,0,,,,,
Kene Nwangwu,70,MIN,RB,17,9,14,1.6,0.5,0,0,8,0,0,,,,,
Brandon Bolden,69,OAK,RB,16,17,66,3.9,1.1,0,0,12,0,0,,,,,
Antonio Williams,69,NYG,RB,2,0,0,0,0,0,0,0,0,0,,,,,
Zonovan Knight,69,NYJ,RB,7,85,300,3.5,12.1,0,1,48,2,0,,,,,
JaMycal Hasty,69,JAX,RB,17,46,194,4.2,2.7,0,2,61,0,0,,,,,
DeeJay Dallas,69,SEA,RB,15,35,186,5.3,2.3,0,0,27,1,0,,,,,
Zamir White,69,OAK,RB,14,17,70,4.1,1.2,0,0,22,0,0,,,,,
Trey Sermon,69,PHI,RB,2,2,19,9.5,1,0,0,14,0,0,,,,,
Jordan Wilkins,69,IND,RB,4,13,58,4.5,3.2,0,0,9,0,0,,,,,
Joshua Kelley,69,LAC,RB,13,69,287,4.2,5.3,0,2,22,0,0,,,,,
Corey Clement,69,ARI,RB,9,15,55,3.7,1.7,0,1,12,0,0,,,,,
Royce Freeman,68,HOU,RB,4,41,117,2.9,10.2,0,0,11,1,1,,,,,
Craig Reynolds,68,DET,RB,9,23,102,4.4,2.6,0,0,21,0,0,,,,,
Mike Boone,68,DEN,RB,9,24,102,4.2,2.7,0,0,18,0,0,,,,,
Dare Ogunbowale,68,HOU,RB,17,42,123,2.9,2.5,0,1,11,0,0,,,,,
Salvon Ahmed,68,MIA,RB,12,12,64,5.3,1,0,1,11,0,0,,,,,
Pierre Strong Jr.,68,NE,RB,15,10,100,10,0.7,0,1,44,0,0,,,,,
Jerome Ford,68,CLE,RB,13,8,12,1.5,0.6,0,0,9,0,0,,,,,
Malik Davis,68,DAL,RB,12,38,161,4.2,3.2,0,1,23,0,0,,,,,
Jaret Patterson,68,WAS,RB,3,17,78,4.6,5.7,0,0,14,0,0,,,,,
Anthony McFarland Jr.,68,PIT,RB,1,6,30,5,6,0,0,14,0,0,,,,,
Darrynton Evans,68,CHI,RB,6,14,64,4.6,2.3,0,0,21,0,0,,,,,
J.J. Taylor,68,NE,RB,1,10,9,0.9,10,0,0,5,0,0,,,,,
Ty'Son Williams,68,ARI,RB,1,0,0,0,0,0,0,0,0,0,,,,,
Hassan Haskins,68,TEN,RB,15,25,93,3.7,1.7,0,0,12,0,0,,,,,
Kylin Hill,68,GB,RB,2,1,7,7,0.5,0,0,7,0,0,,,,,
Chris Evans,68,CIN,RB,12,0,0,0,0,0,0,0,0,0,,,,,
Ty Chandler,67,MIN,RB,3,6,20,3.3,2,0,0,10,0,0,,,,,
Deon Jackson,67,IND,RB,16,68,236,3.5,4.2,0,1,17,1,1,,,,,
Brittain Brown,67,OAK,RB,6,0,0,0,0,0,0,0,0,0,,,,,
Tyler Badie,67,DEN,RB,1,1,0,0,1,0,0,0,0,0,,,,,
Patrick Taylor,67,GB,RB,14,10,31,3.1,0.7,0,0,6,0,0,,,,,
Caleb Huntley,67,ATL,RB,12,76,366,4.8,6.3,0,1,30,1,0,,,,,
Gary Brightwell,67,NYG,RB,17,31,141,4.5,1.8,0,1,25,1,0,,,,,
Jake Funk,67,IND,RB,6,0,0,0,0,0,0,0,0,0,,,,,
Reggie Bonnafon,67,WAS,RB,1,3,8,2.7,3,0,0,5,0,0,,,,,
Raheem Blackshear,67,CAR,RB,13,23,77,3.3,1.8,0,3,16,1,1,,,,,
Ronnie Rivers,67,LAR,RB,8,9,21,2.3,1.1,0,0,5,0,0,,,,,
Keaontay Ingram,67,ARI,RB,12,27,60,2.2,2.2,0,1,13,0,0,,,,,
Jordan Mason,67,SF,RB,16,43,258,6,2.7,0,1,55,0,0,,,,,
Devine Ozigbo,67,DEN,RB,4,3,4,1.3,0.8,0,0,4,0,0,,,,,
Spencer Brown,67,CAR,RB,2,9,43,4.8,4.5,0,0,7,0,0,,,,,
Avery Williams,67,ATL,RB,17,22,109,5,1.3,0,1,21,1,1,,,,,
D'Vonte Price,67,IND,RB,1,0,0,0,0,0,0,0,0,0,,,,,
Julius Chestnut,67,TEN,RB,6,9,12,1.3,1.5,0,0,5,0,0,,,,,
Jonathan Ward,67,TEN,RB,8,5,25,5,0.6,0,0,12,0,0,,,,,
Rico Dowdle,67,DAL,RB,5,0,0,0,0,0,0,0,0,0,,,,,
Larry Rountree III,67,LAC,RB,4,13,19,1.5,3.2,0,0,5,0,0,,,,,
Qadree Ollison,67,DAL,RB,3,0,0,0,0,0,0,0,0,0,,,,,
Godwin Igwebuike,67,SEA,RB,5,3,4,1.3,0.6,0,0,4,1,0,,,,,
Trestan Ebner,67,CHI,RB,17,24,54,2.2,1.4,0,0,11,2,1,,,,,
Tony Jones Jr.,67,SEA,RB,6,10,24,2.4,1.7,0,0,7,0,0,,,,,
Kevin Harris,67,NE,RB,5,18,52,2.9,3.6,0,1,14,0,0,,,,,
Jonathan Williams,67,WAS,RB,13,37,152,4.1,2.8,0,0,23,0,0,,,,,
Dwayne Washington,67,NO,RB,12,11,38,3.5,0.9,0,0,8,1,0,,,,,
John Kelly Jr.,67,CLE,RB,1,0,0,0,0,0,0,0,0,0,,,,,
Trenton Cannon,67,TEN,RB,2,0,0,0,0,0,0,0,0,0,,,,,
Kyren Williams,67,LAR,RB,10,35,139,4,3.5,0,0,17,0,0,,,,,
Trayveon Williams,67,CIN,RB,8,6,30,5,0.8,0,0,16,0,0,,,,,
Snoop Conner,67,JAX,RB,8,12,42,3.5,1.5,0,1,8,0,0,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
