NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Travis Kelce",98,"KC","17","152","110","8.9","1,338","6","12.2","12","52","1","1"
"George Kittle",97,"SF","15","86","60","5.7","765","1","12.8","11","54","1","1"
"Mark Andrews",94,"BAL","15","113","73","7.5","847","3","11.6","5","36","1","0"
"Dallas Goedert",90,"PHI","12","68","55","5.7","702","1","12.8","3","31","1","1"
"T.J. Hockenson",89,"MIN","17","129","86","7.6","914","2","10.6","6","81","1","1"
"Darren Waller",86,"OAK","9","43","28","4.8","388","0","13.9","3","34","0","0"
"Kyle Pitts",85,"ATL","10","59","28","5.9","356","0","12.7","2","33","0","0"
"Evan Engram",85,"JAX","17","98","73","5.8","766","2","10.5","4","36","0","0"
"Dalton Schultz",84,"DAL","15","89","57","5.9","577","0","10.1","5","30","1","1"
"David Njoku",84,"CLE","14","80","58","5.7","628","0","10.8","4","38","1","1"
"Gerald Everett",83,"LAC","16","87","58","5.4","555","0","9.6","4","26","0","0"
"Pat Freiermuth",83,"PIT","16","98","63","6.1","732","0","11.6","2","57","0","0"
"Mike Gesicki",82,"MIA","17","52","32","3.1","362","0","11.3","5","32","0","0"
"Hunter Henry",82,"NE","17","59","41","3.5","509","0","12.4","2","39","0","0"
"Dawson Knox",82,"BUF","15","65","48","4.3","517","0","10.8","6","45","0","0"
"Zach Ertz",81,"ARI","10","69","47","6.9","406","0","8.6","4","32","0","0"
"Hayden Hurst",81,"CIN","13","68","52","5.2","414","0","8","2","29","0","0"
"Tyler Higbee",81,"LAR","17","108","72","6.4","620","0","8.6","3","26","0","0"
"Robert Tonyan",80,"GB","17","67","53","3.9","470","0","8.9","2","24","0","0"
"Marcedes Lewis",80,"GB","17","7","6","0.4","66","0","11","2","31","0","0"
"Tyler Conklin",79,"NYJ","17","87","58","5.1","550","0","9.5","3","30","2","0"
"Cole Kmet",77,"CHI","17","69","50","4.1","544","0","10.9","7","50","1","0"
"Juwan Johnson",76,"NO","16","65","42","4.1","508","0","12.1","7","41","0","0"
"Will Dissly",76,"SEA","15","38","34","2.5","349","0","10.3","3","38","0","0"
"Noah Fant",76,"SEA","17","63","50","3.7","486","0","9.7","4","51","0","0"
"C.J. Uzomah",75,"NYJ","15","27","21","1.8","232","0","11","2","40","0","0"
"Austin Hooper",75,"TEN","17","60","41","3.5","444","0","10.8","2","24","0","0"
"Jonnu Smith",75,"NE","14","39","27","2.8","245","0","9.1","0","53","1","0"
"Logan Thomas",75,"WAS","14","61","39","4.4","323","0","8.3","1","27","0","0"
"Cade Otton",74,"TB","16","65","42","4.1","391","0","9.3","2","35","0","0"
"Irv Smith Jr.",74,"MIN","8","36","25","4.5","182","0","7.3","2","17","1","0"
"Adam Trautman",73,"NO","15","22","18","1.5","207","0","11.5","1","22","0","0"
"Chris Manhertz",73,"JAX","17","8","6","0.5","42","0","7","0","21","0","0"
"Greg Dulcich",73,"DEN","10","55","33","5.5","411","0","12.5","2","39","0","0"
"Ian Thomas",73,"CAR","17","30","21","1.8","197","0","9.4","0","50","0","0"
"Foster Moreau",73,"OAK","15","55","33","3.7","420","0","12.7","2","33","1","1"
"Tommy Tremble",72,"CAR","17","32","19","1.9","174","0","9.2","3","29","1","1"
"Jordan Akins",72,"HOU","15","54","37","3.6","495","0","13.4","5","46","1","1"
"Mo Alie-Cox",72,"IND","17","28","19","1.6","189","0","9.9","3","34","1","1"
"Trey McBride",72,"ARI","16","39","29","2.4","265","0","9.1","1","29","1","0"
"Cameron Brate",72,"TB","11","37","20","3.4","174","0","8.7","0","21","0","0"
"O.J. Howard",71,"HOU","13","23","10","1.8","145","0","14.5","2","26","0","0"
"Isaiah Likely",71,"BAL","16","60","36","3.8","373","1","10.4","3","34","0","0"
"Donald Parham Jr.",70,"LAC","6","12","10","2","130","0","13","1","24","0","0"
"Jake Ferguson",70,"DAL","16","22","19","1.4","174","0","9.2","2","30","0","0"
"Drew Sample",70,"CIN","2","2","2","1","-2","0","-1","0","2","0","0"
"Harrison Bryant",70,"CLE","17","42","31","2.5","239","0","7.7","1","30","0","0"
"Chigoziem Okonkwo",70,"TEN","17","46","32","2.7","450","0","14.1","3","48","0","0"
"Tyler Kroft",70,"SF","11","5","4","0.5","57","0","14.2","0","28","0","0"
"Dan Arnold",70,"JAX","17","13","9","0.8","135","0","15","0","26","0","0"
"Jody Fortson",70,"KC","13","13","9","1","108","0","12","2","40","1","1"
"Jelani Woods",69,"IND","15","40","25","2.7","312","0","12.5","3","36","1","0"
"Albert Okwuegbunam",69,"DEN","8","18","10","2.2","95","0","9.5","1","25","0","0"
"Maxx Williams",69,"ARI","11","3","3","0.3","18","0","6","0","7","0","0"
"Eric Saubert",69,"DEN","17","24","15","1.4","148","0","9.9","1","25","0","0"
"Pharaoh Brown",69,"CLE","16","20","12","1.2","117","0","9.8","0","30","0","0"
"Kylen Granson",69,"IND","13","40","31","3.1","302","0","9.7","0","32","1","0"
"Andrew Beck",69,"DEN","13","11","5","0.8","69","0","13.8","0","27","0","0"
"Daniel Bellinger",69,"NYG","12","35","30","2.9","268","0","8.9","2","24","1","1"
"Josiah Deguara",69,"GB","17","15","13","0.9","114","0","8.8","0","25","0","0"
"Charlie Woerner",68,"SF","17","2","0","0.1","0","0","0","0","0","0","0"
"Taysom Hill",68,"NO","16","13","9","0.8","77","0","8.6","2","30","2","0"
"Jeremy Ruckert",68,"NYJ","9","2","1","0.2","8","0","8","0","8","0","0"
"Kyle Rudolph",68,"TB","9","5","3","0.6","28","0","9.3","1","12","0","0"
"Geoff Swaim",68,"TEN","17","16","12","0.9","58","0","4.8","1","13","0","0"
"MyCole Pruitt",68,"ATL","13","21","16","1.6","150","0","9.4","4","29","0","0"
"Brevin Jordan",68,"HOU","11","27","14","2.5","128","0","9.1","0","20","0","0"
"Cethan Carter",68,"MIA","1","0","0","0","0","0","0","0","0","0","0"
"Anthony Firkser",68,"ATL","11","13","9","1.2","100","0","11.1","0","22","0","0"
"Josh Oliver",68,"BAL","17","24","14","1.4","149","0","10.6","2","40","0","0"
"Colby Parkinson",68,"SEA","17","34","25","2","322","0","12.9","2","39","0","0"
"Eric Tomlinson",67,"DEN","17","13","9","0.8","79","0","8.8","2","18","0","0"
"Feleipe Franks",67,"ATL","11","2","0","0.2","0","0","0","0","0","0","0"
"Garrett Griffin",67,"DET","1","0","0","0","0","0","0","0","0","0","0"
"Armani Rogers",67,"WAS","11","6","5","0.5","64","0","12.8","0","23","0","0"
"Tanner Hudson",67,"NYG","11","15","10","1.4","132","0","13.2","0","27","0","0"
"Quintin Morris",67,"BUF","14","11","8","0.8","84","0","10.5","1","26","1","1"
"Hunter Long",67,"MIA","9","0","0","0","0","0","0","0","0","0","0"
"John Bates",67,"WAS","16","22","14","1.4","108","0","7.7","1","20","1","0"
"Peyton Hendershot",67,"DAL","17","16","11","0.9","103","0","9.4","2","29","1","0"
"J.P. Holtz",67,"NO","6","0","0","0","0","0","0","0","0","0","0"
"Nick Vannett",67,"NYG","9","9","6","1","55","0","9.2","0","15","0","0"
"Richard Rodgers",67,"LAC","10","3","1","0.3","4","0","4","0","4","0","0"
"Tyree Jackson",67,"PHI","5","0","0","0","0","0","0","0","0","0","0"
"Chris Myarick",67,"NYG","16","8","7","0.5","65","0","9.3","1","23","0","0"
