NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Tyreek Hill",99,"MIA","17","170","119","10","1,710","7","14.4","7","64","1","0"
"Davante Adams",99,"OAK","17","180","100","10.6","1,516","8","15.2","14","60","1","0"
"Justin Jefferson",97,"MIN","17","184","128","10.8","1,809","10","14.1","8","64","0","0"
"Cooper Kupp",96,"LAR","9","98","75","10.9","812","5","10.8","6","75","2","1"
"Stefon Diggs",96,"BUF","16","153","108","9.6","1,429","7","13.2","11","53","1","0"
"DeAndre Hopkins",94,"ARI","9","96","64","10.7","717","2","11.2","3","33","2","1"
"Ja'Marr Chase",93,"CIN","12","134","87","11.2","1,046","4","12","9","60","2","2"
"Terry McLaurin",92,"WAS","17","120","77","7.1","1,191","4","15.5","5","52","1","0"
"Mike Evans",91,"TB","15","128","77","8.5","1,124","3","14.6","6","63","0","0"
"A.J. Brown",90,"PHI","17","146","88","8.6","1,496","5","17","11","78","2","2"
"Tyler Lockett",90,"SEA","16","117","84","7.3","1,033","3","12.3","9","40","2","2"
"Chris Godwin",90,"TB","15","142","104","9.5","1,023","2","9.8","3","44","2","2"
"CeeDee Lamb",89,"DAL","17","156","107","9.2","1,359","5","12.7","9","39","0","0"
"DK Metcalf",89,"SEA","17","141","90","8.3","1,048","2","11.6","6","54","2","2"
"Amari Cooper",89,"CLE","17","132","78","7.8","1,160","5","14.9","9","55","0","0"
"Deebo Samuel",88,"SF","13","95","56","7.3","632","1","11.3","2","57","2","2"
"Keenan Allen",88,"LAC","10","89","66","8.9","752","2","11.4","4","46","1","1"
"Jaylen Waddle",87,"MIA","17","116","75","6.8","1,356","6","18.1","8","84","1","1"
"DJ Moore",87,"CAR","17","118","63","6.9","888","3","14.1","7","62","0","0"
"Tee Higgins",86,"CIN","16","110","74","6.9","1,029","4","13.9","7","59","0","0"
"DeVonta Smith",86,"PHI","17","136","95","8","1,196","5","12.6","7","45","1","1"
"Mike Williams",86,"LAC","13","93","63","7.2","895","4","14.2","4","55","0","0"
"Brandon Aiyuk",86,"SF","17","113","78","6.6","1,015","1","13","8","54","1","1"
"Michael Thomas",85,"NO","3","22","16","7.3","171","0","10.7","3","21","0","0"
"Chris Olave",85,"NO","15","119","72","7.9","1,042","3","14.5","4","53","2","2"
"Michael Pittman Jr.",84,"IND","16","141","99","8.8","925","2","9.3","4","28","2","1"
"Christian Kirk",84,"JAX","17","133","84","7.8","1,108","3","13.2","8","49","1","1"
"Jerry Jeudy",84,"DEN","15","100","67","6.7","972","3","14.5","6","67","0","0"
"Brandin Cooks",84,"HOU","13","93","57","7.2","699","1","12.3","3","44","0","0"
"Amon-Ra St. Brown",84,"DET","16","146","106","9.1","1,161","4","11","6","49","0","0"
"Courtland Sutton",83,"DEN","15","109","64","7.3","829","1","13","2","51","0","0"
"Tyler Boyd",83,"CIN","16","82","58","5.1","762","2","13.1","5","60","0","0"
"Adam Thielen",83,"MIN","17","107","70","6.3","716","0","10.2","6","36","0","0"
"JuJu Smith-Schuster",83,"KC","16","101","78","6.3","933","2","12","3","53","3","2"
"Curtis Samuel",83,"WAS","17","92","64","5.4","656","0","10.2","4","49","1","1"
"Diontae Johnson",83,"PIT","17","147","86","8.6","882","0","10.3","0","37","1","0"
"Marquise Brown",83,"ARI","12","107","67","8.9","709","1","10.6","3","47","1","0"
"John Brown",82,"BUF","3","2","1","0.7","42","0","42","1","42","0","0"
"Gabe Davis",82,"BUF","15","92","48","6.1","836","1","17.4","7","98","1","1"
"Darnell Mooney",82,"CHI","12","61","40","5.1","493","0","12.3","2","56","0","0"
"Jakobi Meyers",82,"NE","14","95","67","6.8","804","1","12","6","48","2","2"
"Garrett Wilson",82,"NYJ","17","147","83","8.6","1,103","3","13.3","4","60","2","1"
"Sterling Shepard",82,"NYG","3","24","13","8","154","0","11.8","1","65","0","0"
"Mecole Hardman",81,"KC","8","34","25","4.2","297","0","11.9","4","36","1","0"
"Chosen Anderson",81,"ARI","16","44","20","2.8","282","1","14.1","1","75","1","1"
"Julio Jones",81,"TB","10","43","24","4.3","299","0","12.5","2","48","0","0"
"DeVante Parker",80,"NE","13","47","31","3.6","539","1","17.4","3","43","0","0"
"Hunter Renfrow",80,"OAK","10","50","36","5","330","0","9.2","2","27","3","1"
"Drake London",80,"ATL","17","117","72","6.9","866","1","12","4","40","3","3"
"Nelson Agholor",80,"NE","16","53","31","3.3","362","1","11.7","2","44","2","2"
"Zay Jones",80,"JAX","16","121","82","7.6","823","2","10","5","59","0","0"
"Allen Robinson II",80,"LAR","10","52","33","5.2","339","0","10.3","3","29","0","0"
"Marquez Valdes-Scantling",79,"KC","17","81","42","4.8","687","1","16.4","2","57","0","0"
"Jarvis Landry",79,"NO","9","39","25","4.3","272","1","10.9","1","40","1","0"
"Rondale Moore",79,"ARI","8","56","41","7","414","0","10.1","1","38","0","0"
"Rashod Bateman",79,"BAL","6","28","15","4.7","285","1","19","2","75","1","1"
"Kendrick Bourne",79,"NE","16","48","35","3","434","1","12.4","1","41","2","0"
"Isaiah McKenzie",79,"BUF","15","66","42","4.4","423","0","10.1","4","30","0","0"
"Michael Gallup",79,"DAL","14","74","39","5.3","424","0","10.9","4","27","0","0"
"Allen Lazard",79,"GB","15","100","60","6.7","788","1","13.1","6","47","0","0"
